Accession,Title,Sample Type,Taxonomy,Channels,Platform,Series,Supplementary Types,Supplementary Links,SRA Accession,Contact,Release Date
GSM6149799,"peripheral blood, bladder cancer-r1 (BT0009)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149799/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149800,"peripheral blood, bladder cancer-r1 (BT0012)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149800/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149801,"peripheral blood, bladder cancer-r1 (BT0017)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149801/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149802,"peripheral blood, bladder cancer-r1 (IO0078)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149802/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149803,"peripheral blood, bladder cancer-r1 (IO008)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149803/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149804,"peripheral blood, bladder cancer-r1 (IO0084)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149804/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149805,"peripheral blood, bladder cancer-r1 (IO0085)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149805/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149806,"peripheral blood, bladder cancer-r1 (IO0086)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149806/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149807,"peripheral blood, bladder cancer-r1 (IO0087)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149807/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149808,"peripheral blood, bladder cancer-r1 (IO0088)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149808/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149809,"peripheral blood, bladder cancer-r1 (IO0089)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149809/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149810,"peripheral blood, bladder cancer-r1 (IO0090)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149810/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149811,"peripheral blood, bladder cancer-r1 (IO0091)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149811/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149812,"peripheral blood, bladder cancer-r1 (IO0092)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149812/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149813,"peripheral blood, bladder cancer-r1 (IO0093)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149813/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149814,"peripheral blood, bladder cancer-r1 (IO0094)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149814/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149815,"peripheral blood, bladder cancer-r1 (IO0095)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149815/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149816,"peripheral blood, bladder cancer-r1 (IO0096)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149816/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149817,"peripheral blood, bladder cancer-r1 (IO0097)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149817/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149818,"peripheral blood, bladder cancer-r1 (IO0098)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149818/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149819,"peripheral blood, bladder cancer-r1 (IO0099)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149819/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149820,"peripheral blood, bladder cancer-r1 (IO010)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149820/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149821,"peripheral blood, bladder cancer-r1 (IO0100)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149821/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149822,"peripheral blood, bladder cancer-r1 (IO0101)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149822/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149823,"peripheral blood, bladder cancer-r1 (IO0102)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149823/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149824,"peripheral blood, bladder cancer-r1 (IO0103)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149824/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149825,"peripheral blood, bladder cancer-r1 (IO0104)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149825/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149826,"peripheral blood, bladder cancer-r1 (IO0105)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149826/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149827,"peripheral blood, bladder cancer-r1 (IO0106)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149827/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149828,"peripheral blood, bladder cancer-r1 (IO0107)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149828/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149829,"peripheral blood, bladder cancer-r1 (IO011)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149829/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149830,"peripheral blood, bladder cancer-r1 (IO0110)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149830/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149831,"peripheral blood, bladder cancer-r1 (IO0111)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149831/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149832,"peripheral blood, bladder cancer-r1 (IO0112)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149832/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149833,"peripheral blood, bladder cancer-r1 (IO0116)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149833/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149834,"peripheral blood, bladder cancer-r1 (IO0117)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149834/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149835,"peripheral blood, bladder cancer-r1 (IO0118)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149835/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149836,"peripheral blood, bladder cancer-r1 (IO012)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149836/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149837,"peripheral blood, bladder cancer-r1 (IO0121)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149837/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149838,"peripheral blood, bladder cancer-r1 (IO0122)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149838/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149839,"peripheral blood, bladder cancer-r1 (IO0123)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149839/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149840,"peripheral blood, bladder cancer-r1 (IO0127)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149840/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149841,"peripheral blood, bladder cancer-r1 (IO0129)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149841/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149842,"peripheral blood, bladder cancer-r1 (IO0130)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149842/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149843,"peripheral blood, bladder cancer-r1 (IO0132)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149843/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149844,"peripheral blood, bladder cancer-r1 (IO0134)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149844/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149845,"peripheral blood, bladder cancer-r1 (IO0135)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149845/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149846,"peripheral blood, bladder cancer-r1 (IO0136)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149846/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149847,"peripheral blood, bladder cancer-r1 (IO014)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149847/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149848,"peripheral blood, bladder cancer-r1 (IO0142)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149848/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149849,"peripheral blood, bladder cancer-r1 (IO0143)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149849/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149850,"peripheral blood, bladder cancer-r1 (IO015)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149850/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149851,"peripheral blood, bladder cancer-r1 (IO044p)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149851/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149852,"peripheral blood, bladder cancer-r1 (IO045p)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149852/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149853,"peripheral blood, bladder cancer-r1 (IO046p)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149853/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149854,"peripheral blood, bladder cancer-r1 (IO047)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149854/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149855,"peripheral blood, bladder cancer-r1 (IO048p)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149855/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149856,"peripheral blood, bladder cancer-r1 (IO049p)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149856/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149857,"peripheral blood, bladder cancer-r1 (IO050p)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149857/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149858,"peripheral blood, bladder cancer-r1 (IO051p)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149858/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149859,"peripheral blood, bladder cancer-r1 (IO052Bp)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149859/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149860,"peripheral blood, bladder cancer-r1 (IO053Bp)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149860/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149861,"peripheral blood, bladder cancer-r1 (PN0057)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149861/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149862,"peripheral blood, bladder cancer-r1 (PN0073)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149862/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149863,"peripheral blood, bladder cancer-r1 (PN0084)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149863/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149864,"peripheral blood, bladder cancer-r1 (PN0125)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149864/suppl",,"Adam Dempsey","Aug 31, 2024"
